"id","timestamp","titleChi","title","date","releaseDate","platformEngName","platformChineseName","platformType","numWantToSee","rating","byGenderMale","byGenderFemale","byAge20","byAge20To24","byAge25To29","byAge30To34","byAge35To39","byAge40","byTier1","byTier2","byTier3","byTier4","createdAt","updatedAt"
"1456","1560904056799","赛尔号大电影7：疯狂机器城","","null","2019-08-02大陆上映","Maoyan","猫眼","Web","7249人","null","47.6%","52.4%","9.5%","19.8%","12.4%","14.4%","21.8%","22.1%","35.7%","27.8%","26.7%","9.8%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1480","1560904056799","阳光星旅团","The Sun Star Brigade","null","2019-07-09大陆上映","Maoyan","猫眼","Web","2282人","null","","","6.3%","32.6%","25.4%","14.5%","9.8%","11.4%","38.4%","27.7%","23%","11%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1479","1560904056799","狮子王","The Lion King","null","2019-07-12大陆上映","Maoyan","猫眼","Web","2.4万人","null","54.5%","45.5%","3.7%","26.6%","30.7%","19.4%","10.5%","9.2%","47.1%","19.4%","16.8%","16.7%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1478","1560904056799","命运之夜——天之杯II ：迷失之蝶","剧场版Fate/stay night Heaven's Feel 第二章","null","2019-07-12大陆上映","Maoyan","猫眼","Web","2.3万人","null","61.9%","38.1%","7.4%","42.4%","26.5%","8.1%","5.3%","10.4%","43.3%","23.2%","20.3%","13.2%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1472","1560904056799","扫毒2天地对决","The White Storm 2","null","2019-07-19大陆上映","Maoyan","猫眼","Web","18.2万人","null","65.4%","34.5%","3.3%","28.9%","34.8%","19.3%","7.8%","5.8%","40.7%","23.6%","21.1%","14.6%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1473","1560904056799","伟大的愿望","The Last Wish","null","2019-07-18大陆上映","Maoyan","猫眼","Web","4.7万人","null","42.8%","57.2%","3.9%","32.3%","26.6%","18.7%","9.4%","9.2%","34.2%","26.8%","20.6%","18.4%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1474","1560904056799","九克拉战栗","Diamond Anxiety","null","2019-07-12大陆重映","Maoyan","猫眼","Web","3943人","null","47.6%","52.4%","5%","30.7%","24.8%","16.3%","11.8%","11.5%","32.6%","30.9%","26.2%","10.2%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1459","1560904056799","武圣关公","God of War Kuan Kuong","null","2019-07-26大陆上映","Maoyan","猫眼","Web","657人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1460","1560904056799","魔音谷","mo yin gu","null","2019-07-26大陆上映","Maoyan","猫眼","Web","809人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1461","1560904056799","跳舞吧！大象","Dancing Elephant","null","2019-07-26大陆上映","Maoyan","猫眼","Web","1.3万人","null","","","3.2%","31.1%","28.2%","19%","9.6%","8.9%","37.5%","27.9%","20.9%","13.8%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1462","1560904056799","银河补习班","Looking up","null","2019-07-26大陆上映","Maoyan","猫眼","Web","4.9万人","null","49.9%","50.1%","6.1%","37.6%","27.7%","12.5%","7.1%","9%","40.6%","28.1%","20.7%","10.6%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1463","1560904056799","未来机器城","Next Gen","null","2019-07-26大陆上映","Maoyan","猫眼","Web","8.9万人","null","64.4%","35.5%","3.6%","26.2%","28.4%","18.6%","12.7%","10.6%","41.6%","33.1%","13.4%","11.9%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1464","1560904056799","心之山","Mountain Of Heart","null","2019-07-20大陆上映","Maoyan","猫眼","Web","72人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1465","1560904056799","星际侠探","Space Detective","null","2019-07-20大陆上映","Maoyan","猫眼","Web","255人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1466","1560904056799","温暖的寒冬","The Warm Winter","null","2019-07-19大陆上映","Maoyan","猫眼","Web","70人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1467","1560904056799","为家而战","Fighting with My Family","null","2019-07-19大陆上映","Maoyan","猫眼","Web","6768人","null","43.6%","56.4%","3.3%","32%","27.2%","19.2%","9.5%","8.9%","38%","27.2%","25.9%","8.8%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1468","1560904056799","刀背藏身","The Hidden Sword","null","2019-07-19大陆上映","Maoyan","猫眼","Web","7326人","null","46.2%","53.8%","3.5%","33.1%","27.4%","18%","9%","8.9%","42.8%","20.6%","18.5%","18%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
